symptoms,MATCH,UP_LEVEL,DOWN_LEVEL,Total,,,,,,,,,,,,,
Fever,4,1,0,5,,,,,,,,,,,,,
Sore Throat,3,0,1,4,,,,,,,,,,,,,
Cough,4,0,0,4,,,,,,,,,,Total Evals,Total Matches,Total Up_Level,Total Down_Level
"Fever, Headache, Runny Nose",2,1,0,3,,,,,,,,,,352,298,43,11
"Ear Pain, Sinus Congestion, Sore Throat",2,0,1,3,,,,,,,,,,Percentage,84.65909091,12.21590909,3.125
"Ear Pain, Shortness of Breath, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Runny Nose, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Neck Pain, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Headache, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Fever, Sore Throat",2,1,0,3,,,,,,,,,,,,,
"Ear Pain, Fever, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Fever, Shortness of Breath",3,0,0,3,,,,,,,,,,,,,
"Ear Pain, Fever, Runny Nose",2,1,0,3,,,,,,,,,,,,,
"Ear Pain, Fever, Headache",2,1,0,3,,,,,,,,,,,,,
"Cough, Sinus Congestion, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Cough, Shortness of Breath, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Cough, Shortness of Breath, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Cough, Runny Nose, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Cough, Runny Nose, Sinus Congestion",2,0,1,3,,,,,,,,,,,,,
"Cough, Runny Nose, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Cough, Neck Pain, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Cough, Neck Pain, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Cough, Neck Pain, Runny Nose",2,0,1,3,,,,,,,,,,,,,
"Fever, Headache, Neck Pain",2,1,0,3,,,,,,,,,,,,,
"Fever, Headache, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Cough, Headache, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Fever, Headache, Sinus Congestion",2,1,0,3,,,,,,,,,,,,,
"Shortness of Breath, Sinus Congestion, Sore Throat",2,1,0,3,,,,,,,,,,,,,
Shortness of Breath,2,1,0,3,,,,,,,,,,,,,
"Runny Nose, Sinus Congestion, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Runny Nose, Shortness of Breath, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Neck Pain, Sinus Congestion, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Neck Pain, Runny Nose, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
Neck Pain,3,0,0,3,,,,,,,,,,,,,
"Headache, Sinus Congestion, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Headache, Runny Nose, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
Headache,3,0,0,3,,,,,,,,,,,,,
"Fever, Sinus Congestion, Sore Throat",1,1,1,3,,,,,,,,,,,,,
"Fever, Shortness of Breath, Sore Throat",2,1,0,3,,,,,,,,,,,,,
"Fever, Shortness of Breath, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Fever, Runny Nose, Sore Throat",2,1,0,3,,,,,,,,,,,,,
"Fever, Runny Nose, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Fever, Runny Nose, Shortness of Breath",3,0,0,3,,,,,,,,,,,,,
"Fever, Neck Pain, Sore Throat",1,2,0,3,,,,,,,,,,,,,
"Fever, Neck Pain, Sinus Congestion",1,2,0,3,,,,,,,,,,,,,
"Fever, Neck Pain, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Fever, Neck Pain, Runny Nose",2,1,0,3,,,,,,,,,,,,,
"Fever, Headache, Sore Throat",1,2,0,3,,,,,,,,,,,,,
"Cough, Headache, Sore Throat",3,0,0,3,,,,,,,,,,,,,
Body Aches,3,0,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Headache",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Runny Nose",3,0,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Shortness of Breath",1,1,1,3,,,,,,,,,,,,,
"Cough, Ear Pain, Runny Nose",2,1,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Neck Pain",2,0,1,3,,,,,,,,,,,,,
"Body Aches, Ear Pain, Fever",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Fever, Headache",3,0,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Fever",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Fever, Sore Throat",2,1,0,3,,,,,,,,,,,,,
"Cough, Headache, Runny Nose",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Neck Pain, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Sinus Congestion, Sore Throat",2,0,1,3,,,,,,,,,,,,,
"Body Aches, Cough, Sore Throat",3,0,0,3,,,,,,,,,,,,,
"Cough, Ear Pain, Sore Throat",2,0,1,3,,,,,,,,,,,,,
"Body Aches, Ear Pain, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Cough, Fever, Shortness of Breath",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Headache",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Fever, Neck Pain",2,1,0,3,,,,,,,,,,,,,
"Cough, Headache, Neck Pain",2,0,1,3,,,,,,,,,,,,,
"Body Aches, Fever, Runny Nose",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Fever, Shortness of Breath",3,0,0,3,,,,,,,,,,,,,
"Cough, Fever, Sore Throat",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Ear Pain",3,0,0,3,,,,,,,,,,,,,
"Cough, Fever, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Runny Nose, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Cough, Fever, Runny Nose",2,1,0,3,,,,,,,,,,,,,
"Cough, Fever, Neck Pain",2,1,0,3,,,,,,,,,,,,,
"Cough, Fever, Headache",2,1,0,3,,,,,,,,,,,,,
"Body Aches, Cough, Fever",3,0,0,3,,,,,,,,,,,,,
"Body Aches, Fever, Sinus Congestion",3,0,0,3,,,,,,,,,,,,,
"Fever, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Headache, Runny Nose",1,1,0,2,,,,,,,,,,,,,
"Fever, Sore Throat",1,1,0,2,,,,,,,,,,,,,
"Body Aches, Ear Pain",2,0,0,2,,,,,,,,,,,,,
"Cough, Headache, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Headache, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Headache, Sinus Congestion",1,1,0,2,,,,,,,,,,,,,
"Headache, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Neck Pain, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Neck Pain, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Neck Pain, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Runny Nose, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Cough, Neck Pain",2,0,0,2,,,,,,,,,,,,,
"Runny Nose, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Runny Nose, Sore Throat",1,1,0,2,,,,,,,,,,,,,
"Shortness of Breath, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Shortness of Breath, Sore Throat",2,0,0,2,,,,,,,,,,,,,
Sinus Congestion,1,0,1,2,,,,,,,,,,,,,
"Sinus Congestion, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Fever",2,0,0,2,,,,,,,,,,,,,
Ear Pain,2,0,0,2,,,,,,,,,,,,,
"Fever, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Fever, Runny Nose",1,1,0,2,,,,,,,,,,,,,
"Cough, Neck Pain",2,0,0,2,,,,,,,,,,,,,
"Cough, Headache",2,0,0,2,,,,,,,,,,,,,
"Cough, Neck Pain, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Cough, Runny Nose",2,0,0,2,,,,,,,,,,,,,
"Cough, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Cough, Fever",2,0,0,2,,,,,,,,,,,,,
"Cough, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Cough",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Fever",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Fever, Neck Pain",1,1,0,2,,,,,,,,,,,,,
"Ear Pain, Headache",1,1,0,2,,,,,,,,,,,,,
"Ear Pain, Neck Pain",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Runny Nose",2,0,0,2,,,,,,,,,,,,,
"Cough, Ear Pain",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Ear Pain, Sore Throat",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Fever, Headache",1,1,0,2,,,,,,,,,,,,,
"Body Aches, Shortness of Breath",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Runny Nose",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Headache, Sinus Congestion",2,0,0,2,,,,,,,,,,,,,
"Body Aches, Headache",2,0,0,2,,,,,,,,,,,,,
"Neck Pain, Runny Nose",1,0,0,1,,,,,,,,,,,,,
Runny Nose,1,0,0,1,,,,,,,,,,,,,
"Cough, Shortness of Breath",1,0,0,1,,,,,,,,,,,,,
"Fever, Neck Pain",1,0,0,1,,,,,,,,,,,,,
"Body Aches, Neck Pain",1,0,0,1,,,,,,,,,,,,,
